Country,Year,Internet_Users_Pct
Afghanistan,2014,6.39
Albania,2014,60.1
Algeria,2014,18.09
Andorra,2014,95.9
Angola,2014,21.26
Antigua and Barbuda,2014,64.0
Argentina,2014,64.7
Armenia,2014,46.3
Aruba,2014,83.78
Australia,2014,84.56
Austria,2014,81.0
Azerbaijan,2014,61.0
Bahamas,2014,76.92
Bahrain,2014,90.99998
Bangladesh,2014,9.6
Barbados,2014,76.67
Belarus,2014,59.02
Belgium,2014,85.0
Belize,2014,38.7
Benin,2014,5.3
Bermuda,2014,96.8
Bhutan,2014,34.37
Bolivia,2014,39.02
Bosnia and Herzegovina,2014,60.8
Botswana,2014,18.5
Brazil,2014,57.6
Brunei Darussalam,2014,68.77
Bulgaria,2014,55.49
Burkina Faso,2014,9.4
Burundi,2014,1.38
Cambodia,2014,9.0
Cameroon,2014,11.0
Canada,2014,87.12
Cape Verde,2014,40.26
Cayman Islands,2014,74.1
Central African Rep.,2014,4.03
Chad,2014,2.5
Chile,2014,72.35
China,2014,49.3
Colombia,2014,52.57
Comoros,2014,6.98
Congo,2014,7.11
Congo (Democratic Republic of the),2014,3.0
Costa Rica,2014,49.41
Cote d'Ivoire,2014,14.6
Croatia,2014,68.57
Cuba,2014,30.0
Cyprus,2014,69.33
Czech Republic,2014,79.71
Dem. People's Rep. of Korea,2014,0.0
Denmark,2014,95.99
Djibouti,2014,10.71
Dominica,2014,62.86
Dominican Rep.,2014,49.58
Ecuador,2014,43.0
Egypt,2014,31.7
El Salvador,2014,29.7
Equatorial Guinea,2014,18.86
Eritrea,2014,0.99
Estonia,2014,84.24
Ethiopia,2014,2.9
Faroe Islands,2014,94.66
Fiji,2014,41.8
Finland,2014,92.38
France,2014,83.75
French Polynesia,2014,60.68
Gabon,2014,9.81
Gambia,2014,15.56
Georgia,2014,48.9
Germany,2014,86.19
Ghana,2014,18.9
Greece,2014,63.21
Greenland,2014,66.7
Grenada,2014,37.38
Guam,2014,69.27
Guatemala,2014,23.4
Guinea,2014,1.72
Guinea-Bissau,2014,3.32
Guyana,2014,37.35
Haiti,2014,11.4
Honduras,2014,19.08
"Hong Kong, China",2014,74.56
Hungary,2014,76.13
Iceland,2014,98.16
India,2014,18.0
Indonesia,2014,17.14
Iran (Islamic Rep. of),2014,39.35
Iraq,2014,11.3
Ireland,2014,79.69
Israel,2014,71.45
Italy,2014,61.96
Jamaica,2014,40.5
Japan,2014,90.58
Jordan,2014,44.0
Kazakhstan,2014,54.89
Kenya,2014,43.4
Kiribati,2014,12.25
Korea (Rep. of),2014,84.33
Kuwait,2014,78.7
Kyrgyzstan,2014,28.3
Lao P.D.R.,2014,14.26
Latvia,2014,75.83
Lebanon,2014,74.7
Lesotho,2014,11.0
Liberia,2014,5.41
Libya,2014,17.76
Liechtenstein,2014,95.21
Lithuania,2014,72.13
Luxembourg,2014,94.67
"Macao, China",2014,69.78
Madagascar,2014,3.7
Malawi,2014,5.83
Malaysia,2014,67.5
Maldives,2014,49.28
Mali,2014,7.0
Malta,2014,73.17
Marshall Islands,2014,16.8
Mauritania,2014,10.7
Mauritius,2014,41.44
Mexico,2014,44.39
Micronesia (Fed. States of),2014,29.65
Moldova,2014,46.6
Monaco,2014,92.4
Mongolia,2014,27.0
Montenegro,2014,61.0
Morocco,2014,56.8
Mozambique,2014,5.94
Myanmar,2014,2.1
Namibia,2014,14.84
Nepal,2014,15.44
Netherlands,2014,93.17
New Caledonia,2014,70.0
New Zealand,2014,85.5
Nicaragua,2014,17.6
Niger,2014,1.95
Nigeria,2014,42.68
Norway,2014,96.3
Oman,2014,70.22
Pakistan,2014,13.8
Palestine,2014,53.67
Panama,2014,44.92
Papua New Guinea,2014,9.38
Paraguay,2014,43.0
Peru,2014,40.2
Philippines,2014,39.69
Poland,2014,66.6
Portugal,2014,64.59
Puerto Rico,2014,78.78
Qatar,2014,91.49
Romania,2014,54.08
Russia,2014,70.52
Rwanda,2014,10.6
Saint Kitts and Nevis,2014,65.4
Saint Lucia,2014,51.0
Samoa,2014,21.2
Sao Tome and Principe,2014,24.41
Saudi Arabia,2014,63.7
Senegal,2014,17.7
Serbia,2014,53.5
Seychelles,2014,54.26
Sierra Leone,2014,2.1
Singapore,2014,82.0
Slovak Republic,2014,79.98
Slovenia,2014,71.59
Solomon Islands,2014,9.0
Somalia,2014,1.63
South Africa,2014,49.0
South Sudan,2014,15.9
Spain,2014,76.19
Sri Lanka,2014,25.8
St. Vincent and the Grenadines,2014,56.48
Sudan,2014,24.64
Suriname,2014,40.08
Swaziland,2014,27.1
Sweden,2014,92.52
Switzerland,2014,87.0
Syria,2014,28.09
T.F.Y.R. Macedonia,2014,68.06
Tajikistan,2014,17.49
Tanzania,2014,4.86
Thailand,2014,34.89
Timor-Leste,2014,1.14
Togo,2014,5.7
Tonga,2014,40.0
Trinidad and Tobago,2014,65.1
Tunisia,2014,46.16
Turkey,2014,51.04
Turkmenistan,2014,12.2
Uganda,2014,17.71
Ukraine,2014,43.4
United Arab Emirates,2014,90.4
United Kingdom,2014,91.61
United States,2014,87.36
Uruguay,2014,61.46
Uzbekistan,2014,43.55
Vanuatu,2014,18.8
Venezuela,2014,57.0
Viet Nam,2014,48.31
Virgin Islands (U.S.),2014,50.07
Yemen,2014,22.55
Zambia,2014,17.34
Zimbabwe,2014,19.89
